column,n_nonnull,first_year,last_year
year,35,1990,2024
wid_top10_inc,35,1990,2024
year_t,35,1990,2024
gear_era,35,1990,2024
wid_top1_wealth,35,1990,2024
wid_top10_wealth,35,1990,2024
wid_top10_disp,35,1990,2024
wid_bottom50_inc,35,1990,2024
wid_bottom50_disp,35,1990,2024
wid_top1_inc,35,1990,2024
wdi_fdi_gdp,34,1990,2023
wdi_trade_gdp,34,1990,2023
d_wid_top10_wealth,34,1991,2024
d_wid_top10_inc,34,1991,2024
d_wid_top1_inc,34,1991,2024
wdi_gdp_growth,34,1990,2023
wdi_gdp_pc_usd,34,1990,2023
log_gdp_pc,34,1990,2023
wdi_unemployment,33,1991,2023
d_wdi_fdi_gdp,33,1991,2023
d_wdi_trade_gdp,33,1991,2023
d_wdi_unemployment,32,1992,2023
wgi_avg,27,1996,2024
wgi_va,27,1996,2024
wgi_cc,27,1996,2024
wgi_rl,27,1996,2024
wgi_rq,26,1996,2024
wgi_ge,26,1996,2024
wgi_pv,26,1996,2024
d_wgi_avg,24,2001,2024
wiid_gini,16,1990,2017
wiid_palma,12,1993,2017
wdi_gini,7,1993,2022
wiid_top5,5,2008,2017
