year,wdi_gini,wdi_gdp_pc_usd,wdi_gdp_growth,wdi_trade_gdp,wdi_fdi_gdp,wdi_unemployment,wid_top1_inc,wid_top10_inc,wid_bottom50_inc,wid_top10_disp,wid_bottom50_disp,wid_top10_wealth,wid_top1_wealth,wiid_gini,wiid_palma,wiid_top5,wgi_va,wgi_pv,wgi_ge,wgi_rq,wgi_rl,wgi_cc,wgi_avg,log_gdp_pc,year_t,gear_era,d_wdi_trade_gdp,d_wdi_fdi_gdp,d_wdi_unemployment,d_wid_top1_inc,d_wid_top10_inc,d_wid_top10_wealth,d_wgi_avg
1990,,4544.23023212165,-0.317760426540374,38.2118009241798,-0.0600742002495873,,0.1014,0.4718,0.135,0.4146,0.1758,0.8634000000000001,0.4886,63.0,,,,,,,,,,8.421613626397736,0,0,,,,,,,
1991,,4396.36069450543,-1.0182449675445,34.8816092569776,0.187963513611018,23.137,0.1081,0.4919,0.1257,0.4371,0.1639,0.8739,0.5035000000000001,68.0,,,,,,,,,,8.388532362772974,1,0,-3.3301916672022003,0.2480377138606053,,0.006699999999999998,0.020100000000000007,0.010499999999999954,
1992,,4225.814328485,-2.13703284500521,34.3213534993474,0.0022850477176505,23.463,0.1085,0.4879,0.1275,0.4334,0.1694,0.8709,0.4992,,,,,,,,,,,8.348967261689038,2,0,-0.5602557576301948,-0.1856784658933675,0.3260000000000005,0.0003999999999999976,-0.0040000000000000036,-0.0030000000000000027,
1993,59.3,4193.59826135345,1.23355793864741,35.6981243460429,0.0076704815968297,23.361,0.1058,0.4635,0.1389,0.4143,0.1767,0.8589,0.4824,59.33,5.69,,,,,,,,,8.341314417973827,3,0,1.3767708466955,0.0053854338791792,-0.10200000000000031,-0.002699999999999994,-0.024399999999999977,-0.01200000000000001,
1994,,4258.26184733408,3.20000000297172,37.1146091666279,0.24389539814991,23.067,0.1128,0.4739,0.1337,0.4279,0.1706,0.8611000000000001,0.4931,,,,,,,,,,,8.35661633894408,4,0,1.4164848205849978,0.23622491655308028,-0.2940000000000005,0.006999999999999992,0.010399999999999965,0.0022000000000000908,
1995,,4337.29729686998,3.10000000054411,39.4780337793026,0.72694450392697,22.705,0.1199,0.4843,0.1284,0.4363,0.1667,0.862,0.4708,59.0,,,,,,,,,,8.375006690453016,5,0,2.3634246126746987,0.48304910577705995,-0.3620000000000019,0.007100000000000009,0.01040000000000002,0.0008999999999999009,
1996,,4465.50649854807,4.29999999726792,42.199251732528,0.500131495666207,22.5,0.1269,0.4947,0.1232,0.4409,0.1619,0.8648,0.4841,60.69,6.07,,0.6149549983333333,0.5744949428571429,0.59820555,0.5197595,0.5701851888888889,0.59195,0.5782583633465609,8.404137924401814,6,1,2.7212179532253984,-0.226813008260763,-0.2049999999999983,0.007000000000000006,0.010399999999999965,0.0028000000000000247,
1997,,4527.04992403877,2.60000000146347,42.3013344291831,2.25505250994968,22.549,0.1338,0.505,0.118,0.4513,0.1594,0.8540000000000001,0.4788,54.5,5.3,,,,,,,,,8.417825775437613,7,1,0.10208269665510272,1.754921014283473,0.04899999999999949,0.0068999999999999895,0.010300000000000031,-0.01079999999999992,
1998,,4494.85711232358,0.50000000034143,44.0357453368965,0.359738435986599,22.739,0.1408,0.5153,0.1128,0.4552,0.1549,0.8452000000000001,0.4767,,,,0.6108083333333333,0.5124458857142857,0.5193666714285714,0.53935096875,0.5454493777777778,0.54115,0.5447618728339947,8.410689158263333,8,1,1.7344109077133965,-1.895314073963081,0.19000000000000128,0.007000000000000006,0.010299999999999976,-0.00880000000000003,
1999,,4552.85007973031,2.39999999746338,42.2582960172673,0.992187596290552,22.884,0.1477,0.5256000000000001,0.1076,0.4706,0.1484,0.8407,0.5037,,,,,,,,,,,8.423508706993465,9,1,-1.7774493196291985,0.632449160303953,0.14499999999999957,0.0068999999999999895,0.010300000000000087,-0.0045000000000000595,
